title	content
Robert Zemeckis Just Wants to Move You	Robert Zemeckis Here is the most unfashionable movie of 2024which is exactly whats beautiful about it. In a world where even those who profess to love movies largely stream them at home, Here is a pi… [+10438 chars]
Venom 3 set to win weekend box office, but there’s a battle for second spot	Venom: The Last Dance is set to win the North American box office for the second weekend in a row, according to a forecast by Boxoffice Pro.  Sony Pictures’ sci-fi action movie is projected to earn b… [+2036 chars]
‘Here’ Review: Robert Zemeckis Rues Time Lost, Gained, and Wasted with a De-Aged Tom Hanks and Robin Wright	Life isn’t too short — it’s long, as Robert Zemeckis’ brisk, inventive, and earnest latest experiment, “Here,” ponders in an hour and 40 minutes that span multiple centuries and lifetimes unfolding o… [+9541 chars]
Tom Hanks And Robin Wright’s ‘Here’ Opens Flat At Weekend Box Office	"Tom Hanks and Robin Wright in ""Here.""  Sony Pictures Entertainment/Miramax  HereTom Hanks and Robin Wrights reunion movie with their Forrest Gumpdirector Robert Zemeckisis opening weak in theaters.  … [+2372 chars]"
Tom Hanks And Robin Wright’s ‘Here’ Gets Digital Streaming Date	"Tom Hanks and Robin Wright in ""Here.""  Sony Pictures Entertainment/Miramax  HereTom Hanks and Robin Wrights reunion movie with their Forrest Gump director Robert Zemeckisis coming soon to digital str… [+3069 chars]"
‘Here’ Reviews: Critics Bash Tom Hanks And Robin Wright Reunion Movie	"Robin Wright and Tom Hanks in ""Here.""  Sony Pictures Entertainment  Herea drama that reunites Tom Hanks, Robin Wright and director Robert Zemeckisis being met with mostly negative reviews from critic… [+2980 chars]"
‘Venom: The Last Dance,’ ‘The Wild Robot,’ and Specialized Hits Thrive	With a huge late November expected led by “Wicked” (Universal), “Gladiator 2” (Paramount), and “Moana 2” (Disney), another weak weekend ($74 million total, down from $96 million last year) isn’t a di… [+8282 chars]
Robert Zemeckis Didn’t Initially Know If ‘Here’ Would Work As A Movie	"(Left to right) Robert Zemeckis and Tom Hanks attend the 2024 AFI Fest World Premiere Screening of ... [+] 'Here' at TCL Chinese Theatre on October 25, 2024 in Hollywood, California.  FilmMagic  ""Whe… [+7042 chars]"
‘Here’: When Is Tom Hanks And Robin Wright's Drama Coming To Streaming?	"Tom Hanks and Robin Wright in ""Here.""  Sony Pictures Entertainment  The visually innovative Tom Hanks and Robin Wright drama Here is new in theaters. When is it coming to streaming?  Director Robert … [+2473 chars]"
‘Here’ Review: ‘Forrest Gump’ Filmmaker Robert Zemeckis Reunites With Tom Hanks & Robin Wright For Complex Family Story Stuck Somewhere In Time – AFI Fest	Robert Zemeckis clearly has a thing for time – past, present, and Back To The Future. With a filmography that also includes films like Polar Express and especially his Oscar winning Best Picture Forr… [+6271 chars]
Where To Watch Here: Showtimes & Streaming Status	Tom Hanks and Robin Wright reunite with their Forrest Gump director Robert Zemeckis and writer Eric Roth, and there are options for where to watch the 2024 movie Here. The ambitious project reuniting… [+2724 chars]
November Might Debut Four $100 Million-Plus Movies, Led by ‘Wicked,’ ‘Gladiator 2,’ and ‘Moana 2’	The projections game for November’s U.S./Canada box office is easier than next Tuesday’s election. But after October results far off earlier predictions, some caution is advisable  This century befor… [+4676 chars]
All the Songs in the Tom Hanks Movie ‘Here’	Here is here.  And Robert Zemeckis latest technologically innovative drama stars his Forrest Gump team of Tom Hanks and Robin Wright, this time embodying a couple living in a house. The angle of the … [+6159 chars]
Tom Hanks and Robin Wright at the AFI Fest Premiere of HERE	Pin  Tom Hanks went tieless to the premiere of Here, but maybe that’s because his co-star Robin Wright stole his.  Pin  Pin  Pin  Pin  Pin  Pin  Pin  He’s fine. More or less unassailable at this poin… [+1678 chars]
